,latitude,longitude,area,area_name,country_name
195,46.151241,14.995463,SLOVENIA,Slovenia,SLOVENIA
196,77.553604,23.670272,SVALBARD AND JAN MAYEN,Svalbard and Jan Mayen,SVALBARD AND JAN MAYEN
197,48.669026,19.699024,SLOVAKIA,Slovakia,SLOVAKIA
198,8.460555000000001,-11.779889,SIERRA LEONE,Sierra Leone,SIERRA LEONE
199,43.94236,12.457777,SAN MARINO,San Marino,SAN MARINO
200,14.497401000000002,-14.452362,SENEGAL,Senegal,SENEGAL
201,5.152149,46.199616,SOMALIA,Somalia,SOMALIA
202,3.919305000000001,-56.02778299999999,SURINAME,Suriname,SURINAME
203,0.18636,6.613081,S?O TOM? AND PR?NCIPE,S?o Tom? and Pr?ncipe,S?O TOM? AND PR?NCIPE
204,13.794185,-88.89653,EL SALVADOR,El Salvador,EL SALVADOR
205,34.802075,38.99681500000001,SYRIA,Syria,SYRIA
206,-26.522503000000004,31.465866,SWAZILAND,Swaziland,SWAZILAND
207,21.694025,-71.797928,TURKS AND CAICOS ISLANDS,Turks and Caicos Islands,TURKS AND CAICOS ISLANDS
208,15.454166,18.732207,CHAD,Chad,CHAD
209,-49.280366,69.348557,FRENCH SOUTHERN TERRITORIES,French Southern Territories,FRENCH SOUTHERN TERRITORIES
210,8.619543,0.824782,TOGO,Togo,TOGO
211,15.870032,100.992541,THAILAND,Thailand,THAILAND
212,38.861034,71.276093,TAJIKISTAN,Tajikistan,TAJIKISTAN
213,-8.967363,-171.855881,TOKELAU,Tokelau,TOKELAU
214,-8.874217,125.727539,TIMOR-LESTE,Timor-Leste,TIMOR-LESTE
215,38.969719,59.556278000000006,TURKMENISTAN,Turkmenistan,TURKMENISTAN
216,33.886917,9.537499,TUNISIA,Tunisia,TUNISIA
217,-21.178986,-175.198242,TONGA,Tonga,TONGA
218,38.963745,35.243322,TURKEY,Turkey,TURKEY
219,10.691803,-61.222503,TRINIDAD AND TOBAGO,Trinidad and Tobago,TRINIDAD AND TOBAGO
220,-7.109535,177.64933,TUVALU,Tuvalu,TUVALU
221,23.69781,120.960515,TAIWAN,Taiwan,TAIWAN
222,-6.369028,34.888822,TANZANIA,Tanzania,TANZANIA
223,48.379433,31.16558,UKRAINE,Ukraine,UKRAINE
224,1.373333,32.290275,UGANDA,Uganda,UGANDA
225,,,U.S. MINOR OUTLYING ISLANDS,U.S. Minor Outlying Islands,U.S. MINOR OUTLYING ISLANDS
226,37.09024,-95.712891,UNITED STATES,United States,UNITED STATES
227,-32.522779,-55.765835,URUGUAY,Uruguay,URUGUAY
228,41.377491,64.585262,UZBEKISTAN,Uzbekistan,UZBEKISTAN
229,41.902916,12.453389,VATICAN CITY,Vatican City,VATICAN CITY
230,12.984305,-61.287228000000006,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,SAINT VINCENT AND THE GRENADINES
231,6.42375,-66.58973,VENEZUELA,Venezuela,VENEZUELA
232,18.420695,-64.63996800000001,BRITISH VIRGIN ISLANDS,British Virgin Islands,BRITISH VIRGIN ISLANDS
233,18.335765,-64.896335,U.S. VIRGIN ISLANDS,U.S. Virgin Islands,U.S. VIRGIN ISLANDS
234,14.058324,108.277199,VIETNAM,Vietnam,VIETNAM
235,-15.376706,166.959158,VANUATU,Vanuatu,VANUATU
236,-13.768752,-177.156097,WALLIS AND FUTUNA,Wallis and Futuna,WALLIS AND FUTUNA
237,-13.759029,-172.10462900000005,SAMOA,Samoa,SAMOA
238,42.602636,20.902977,KOSOVO,Kosovo,KOSOVO
239,15.552727,48.516388,YEMEN,Yemen,YEMEN
240,-12.8275,45.166244,MAYOTTE,Mayotte,MAYOTTE
241,-30.559482,22.937506,SOUTH AFRICA,South Africa,SOUTH AFRICA
242,-13.133897,27.849332,ZAMBIA,Zambia,ZAMBIA
243,-19.015438,29.154857,ZIMBABWE,Zimbabwe,ZIMBABWE
